disaster_scenario_id,trajectory_id,intensity_level,intensity_rate,demand_point_id,period,delta_hours,newly_affected_population,nominal_demand
0,0,1,0.025,0,1,30,234,2106
0,0,1,0.025,0,2,24,479,4311
0,0,1,0.025,0,3,18,234,2106
9,0,2,0.05,0,1,30,469,4221
9,0,2,0.05,0,2,24,958,8622
9,0,2,0.05,0,3,18,469,4221
18,0,3,0.075,0,1,30,703,6327
18,0,3,0.075,0,2,24,1437,12933
18,0,3,0.075,0,3,18,703,6327
27,0,4,0.125,0,1,30,1172,10548
27,0,4,0.125,0,2,24,2395,21555
27,0,4,0.125,0,3,18,1172,10548
36,0,5,0.25,0,1,30,2344,21096
36,0,5,0.25,0,2,24,4789,43101
36,0,5,0.25,0,3,18,2344,21096
0,0,1,0.025,1,1,30,190,1710
0,0,1,0.025,1,2,24,389,3501
0,0,1,0.025,1,3,18,190,1710
9,0,2,0.05,1,1,30,380,3420
9,0,2,0.05,1,2,24,777,6993
9,0,2,0.05,1,3,18,380,3420
18,0,3,0.075,1,1,30,570,5130
18,0,3,0.075,1,2,24,1166,10494
18,0,3,0.075,1,3,18,570,5130
27,0,4,0.125,1,1,30,951,8559
27,0,4,0.125,1,2,24,1943,17487
27,0,4,0.125,1,3,18,951,8559
36,0,5,0.25,1,1,30,1902,17118
36,0,5,0.25,1,2,24,3885,34965
36,0,5,0.25,1,3,18,1902,17118
0,0,1,0.025,2,1,30,140,1260
0,0,1,0.025,2,2,24,286,2574
0,0,1,0.025,2,3,18,140,1260
9,0,2,0.05,2,1,30,280,2520
9,0,2,0.05,2,2,24,573,5157
9,0,2,0.05,2,3,18,280,2520
18,0,3,0.075,2,1,30,421,3789
18,0,3,0.075,2,2,24,859,7731
18,0,3,0.075,2,3,18,421,3789
27,0,4,0.125,2,1,30,701,6309
27,0,4,0.125,2,2,24,1432,12888
27,0,4,0.125,2,3,18,701,6309
36,0,5,0.25,2,1,30,1402,12618
36,0,5,0.25,2,2,24,2864,25776
36,0,5,0.25,2,3,18,1402,12618
0,0,1,0.025,10,1,30,142,1278
0,0,1,0.025,10,2,24,289,2601
0,0,1,0.025,10,3,18,142,1278
9,0,2,0.05,10,1,30,283,2547
9,0,2,0.05,10,2,24,579,5211
9,0,2,0.05,10,3,18,283,2547
18,0,3,0.075,10,1,30,425,3825
18,0,3,0.075,10,2,24,868,7812
18,0,3,0.075,10,3,18,425,3825
27,0,4,0.125,10,1,30,708,6372
27,0,4,0.125,10,2,24,1447,13023
27,0,4,0.125,10,3,18,708,6372
36,0,5,0.25,10,1,30,1417,12753
36,0,5,0.25,10,2,24,2895,26055
36,0,5,0.25,10,3,18,1417,12753
0,0,1,0.025,11,1,30,202,1818
0,0,1,0.025,11,2,24,412,3708
0,0,1,0.025,11,3,18,202,1818
9,0,2,0.05,11,1,30,403,3627
9,0,2,0.05,11,2,24,824,7416
9,0,2,0.05,11,3,18,403,3627
18,0,3,0.075,11,1,30,605,5445
18,0,3,0.075,11,2,24,1236,11124
18,0,3,0.075,11,3,18,605,5445
27,0,4,0.125,11,1,30,1008,9072
27,0,4,0.125,11,2,24,2060,18540
27,0,4,0.125,11,3,18,1008,9072
36,0,5,0.25,11,1,30,2017,18153
36,0,5,0.25,11,2,24,4121,37089
36,0,5,0.25,11,3,18,2017,18153
0,0,1,0.025,12,1,30,90,810
0,0,1,0.025,12,2,24,183,1647
0,0,1,0.025,12,3,18,90,810
9,0,2,0.05,12,1,30,180,1620
9,0,2,0.05,12,2,24,367,3303
9,0,2,0.05,12,3,18,180,1620
18,0,3,0.075,12,1,30,269,2421
18,0,3,0.075,12,2,24,550,4950
18,0,3,0.075,12,3,18,269,2421
27,0,4,0.125,12,1,30,449,4041
27,0,4,0.125,12,2,24,917,8253
27,0,4,0.125,12,3,18,449,4041
36,0,5,0.25,12,1,30,898,8082
36,0,5,0.25,12,2,24,1834,16506
36,0,5,0.25,12,3,18,898,8082
0,0,1,0.025,13,1,30,296,2664
0,0,1,0.025,13,2,24,606,5454
0,0,1,0.025,13,3,18,296,2664
9,0,2,0.05,13,1,30,593,5337
9,0,2,0.05,13,2,24,1211,10899
9,0,2,0.05,13,3,18,593,5337
18,0,3,0.075,13,1,30,889,8001
18,0,3,0.075,13,2,24,1817,16353
18,0,3,0.075,13,3,18,889,8001
27,0,4,0.125,13,1,30,1482,13338
27,0,4,0.125,13,2,24,3028,27252
27,0,4,0.125,13,3,18,1482,13338
36,0,5,0.25,13,1,30,2964,26676
36,0,5,0.25,13,2,24,6056,54504
36,0,5,0.25,13,3,18,2964,26676
0,0,1,0.025,15,1,30,223,2007
0,0,1,0.025,15,2,24,455,4095
0,0,1,0.025,15,3,18,223,2007
9,0,2,0.05,15,1,30,445,4005
9,0,2,0.05,15,2,24,910,8190
9,0,2,0.05,15,3,18,445,4005
18,0,3,0.075,15,1,30,668,6012
18,0,3,0.075,15,2,24,1365,12285
18,0,3,0.075,15,3,18,668,6012
27,0,4,0.125,15,1,30,1113,10017
27,0,4,0.125,15,2,24,2274,20466
27,0,4,0.125,15,3,18,1113,10017
36,0,5,0.25,15,1,30,2226,20034
36,0,5,0.25,15,2,24,4548,40932
36,0,5,0.25,15,3,18,2226,20034
0,0,1,0.025,16,1,30,222,1998
0,0,1,0.025,16,2,24,454,4086
0,0,1,0.025,16,3,18,222,1998
9,0,2,0.05,16,1,30,445,4005
9,0,2,0.05,16,2,24,908,8172
9,0,2,0.05,16,3,18,445,4005
18,0,3,0.075,16,1,30,667,6003
18,0,3,0.075,16,2,24,1362,12258
18,0,3,0.075,16,3,18,667,6003
27,0,4,0.125,16,1,30,1111,9999
27,0,4,0.125,16,2,24,2271,20439
27,0,4,0.125,16,3,18,1111,9999
36,0,5,0.25,16,1,30,2223,20007
36,0,5,0.25,16,2,24,4541,40869
36,0,5,0.25,16,3,18,2223,20007
0,0,1,0.025,17,1,30,197,1773
0,0,1,0.025,17,2,24,402,3618
0,0,1,0.025,17,3,18,197,1773
9,0,2,0.05,17,1,30,393,3537
9,0,2,0.05,17,2,24,804,7236
9,0,2,0.05,17,3,18,393,3537
18,0,3,0.075,17,1,30,590,5310
18,0,3,0.075,17,2,24,1205,10845
18,0,3,0.075,17,3,18,590,5310
27,0,4,0.125,17,1,30,983,8847
27,0,4,0.125,17,2,24,2009,18081
27,0,4,0.125,17,3,18,983,8847
36,0,5,0.25,17,1,30,1966,17694
36,0,5,0.25,17,2,24,4018,36162
36,0,5,0.25,17,3,18,1966,17694
0,0,1,0.025,18,1,30,302,2718
0,0,1,0.025,18,2,24,616,5544
0,0,1,0.025,18,3,18,302,2718
9,0,2,0.05,18,1,30,603,5427
9,0,2,0.05,18,2,24,1232,11088
9,0,2,0.05,18,3,18,603,5427
18,0,3,0.075,18,1,30,905,8145
18,0,3,0.075,18,2,24,1848,16632
18,0,3,0.075,18,3,18,905,8145
27,0,4,0.125,18,1,30,1508,13572
27,0,4,0.125,18,2,24,3081,27729
27,0,4,0.125,18,3,18,1508,13572
36,0,5,0.25,18,1,30,3016,27144
36,0,5,0.25,18,2,24,6162,55458
36,0,5,0.25,18,3,18,3016,27144
1,1,1,0.025,0,1,30,234,2106
1,1,1,0.025,0,2,24,479,4311
1,1,1,0.025,0,3,18,234,2106
10,1,2,0.05,0,1,30,469,4221
10,1,2,0.05,0,2,24,958,8622
10,1,2,0.05,0,3,18,469,4221
19,1,3,0.075,0,1,30,703,6327
19,1,3,0.075,0,2,24,1437,12933
19,1,3,0.075,0,3,18,703,6327
28,1,4,0.125,0,1,30,1172,10548
28,1,4,0.125,0,2,24,2395,21555
28,1,4,0.125,0,3,18,1172,10548
37,1,5,0.25,0,1,30,2344,21096
37,1,5,0.25,0,2,24,4789,43101
37,1,5,0.25,0,3,18,2344,21096
1,1,1,0.025,1,1,30,190,1710
1,1,1,0.025,1,2,24,389,3501
1,1,1,0.025,1,3,18,190,1710
10,1,2,0.05,1,1,30,380,3420
10,1,2,0.05,1,2,24,777,6993
10,1,2,0.05,1,3,18,380,3420
19,1,3,0.075,1,1,30,570,5130
19,1,3,0.075,1,2,24,1166,10494
19,1,3,0.075,1,3,18,570,5130
28,1,4,0.125,1,1,30,951,8559
28,1,4,0.125,1,2,24,1943,17487
28,1,4,0.125,1,3,18,951,8559
37,1,5,0.25,1,1,30,1902,17118
37,1,5,0.25,1,2,24,3885,34965
37,1,5,0.25,1,3,18,1902,17118
1,1,1,0.025,2,1,30,140,1260
1,1,1,0.025,2,2,24,286,2574
1,1,1,0.025,2,3,18,140,1260
10,1,2,0.05,2,1,30,280,2520
10,1,2,0.05,2,2,24,573,5157
10,1,2,0.05,2,3,18,280,2520
19,1,3,0.075,2,1,30,421,3789
19,1,3,0.075,2,2,24,859,7731
19,1,3,0.075,2,3,18,421,3789
28,1,4,0.125,2,1,30,701,6309
28,1,4,0.125,2,2,24,1432,12888
28,1,4,0.125,2,3,18,701,6309
37,1,5,0.25,2,1,30,1402,12618
37,1,5,0.25,2,2,24,2864,25776
37,1,5,0.25,2,3,18,1402,12618
1,1,1,0.025,5,1,30,112,1008
1,1,1,0.025,5,2,24,230,2070
1,1,1,0.025,5,3,18,112,1008
10,1,2,0.05,5,1,30,225,2025
10,1,2,0.05,5,2,24,460,4140
10,1,2,0.05,5,3,18,225,2025
19,1,3,0.075,5,1,30,337,3033
19,1,3,0.075,5,2,24,689,6201
19,1,3,0.075,5,3,18,337,3033
28,1,4,0.125,5,1,30,562,5058
28,1,4,0.125,5,2,24,1149,10341
28,1,4,0.125,5,3,18,562,5058
37,1,5,0.25,5,1,30,1125,10125
37,1,5,0.25,5,2,24,2298,20682
37,1,5,0.25,5,3,18,1125,10125
1,1,1,0.025,10,1,30,142,1278
1,1,1,0.025,10,2,24,289,2601
1,1,1,0.025,10,3,18,142,1278
10,1,2,0.05,10,1,30,283,2547
10,1,2,0.05,10,2,24,579,5211
10,1,2,0.05,10,3,18,283,2547
19,1,3,0.075,10,1,30,425,3825
19,1,3,0.075,10,2,24,868,7812
19,1,3,0.075,10,3,18,425,3825
28,1,4,0.125,10,1,30,708,6372
28,1,4,0.125,10,2,24,1447,13023
28,1,4,0.125,10,3,18,708,6372
37,1,5,0.25,10,1,30,1417,12753
37,1,5,0.25,10,2,24,2895,26055
37,1,5,0.25,10,3,18,1417,12753
1,1,1,0.025,11,1,30,202,1818
1,1,1,0.025,11,2,24,412,3708
1,1,1,0.025,11,3,18,202,1818
10,1,2,0.05,11,1,30,403,3627
10,1,2,0.05,11,2,24,824,7416
10,1,2,0.05,11,3,18,403,3627
19,1,3,0.075,11,1,30,605,5445
19,1,3,0.075,11,2,24,1236,11124
19,1,3,0.075,11,3,18,605,5445
28,1,4,0.125,11,1,30,1008,9072
28,1,4,0.125,11,2,24,2060,18540
28,1,4,0.125,11,3,18,1008,9072
37,1,5,0.25,11,1,30,2017,18153
37,1,5,0.25,11,2,24,4121,37089
37,1,5,0.25,11,3,18,2017,18153
1,1,1,0.025,12,1,30,90,810
1,1,1,0.025,12,2,24,183,1647
1,1,1,0.025,12,3,18,90,810
10,1,2,0.05,12,1,30,180,1620
10,1,2,0.05,12,2,24,367,3303
